"index","filename","true_label","target_label"
"87","17f3b8a057bc01be.png","tile roof","golf ball"
"88","184a160b32ff4c72.png","crane","picket fence, paling"
"89","18d5f99fe237a306.png","speedboat","tarantula"
"90","19935b1c0a4d305d.png","refrigerator, icebox","maraca"
"91","19b5bea9a7608a92.png","scabbard","bath towel"
"92","19d43f8204d3183d.png","rapeseed","marmoset"
"93","1a264165276e3c85.png","theater curtain, theatre curtain","reel"
"94","1a680f33500acb4b.png","bagel, beigel","black and gold garden spider, Argiope aurantia"
"95","1a7425e8f990e04a.png","jack-o'-lantern","moving van"
"96","1a94dc47fdd84a95.png","trench coat","streetcar, tram, tramcar, trolley, trolley car"
"97","1a95932427129cda.png","minivan","buckle"
"98","1ac44ddb6a2d497a.png","washer, automatic washer, washing machine","common newt, Triturus vulgaris"
"99","1b1ffd7000d0749f.png","carbonara","buckeye, horse chestnut, conker"
"100","1b546695167d3f6e.png","carbonara","sunglass"
